Year,Month,Day,Interval,wind_apb1,wind_apb2,wind_apb3,wind_apb4,wind_apb5
2025,8,11,23,0,0,0.337451349,0.67502056,0.396905754
2025,8,11,24,0,0,0.327219827,0.639227234,0.388602514
2025,8,12,1,0,0,0.216422245,0.365640216,0.212674419
2025,8,12,2,0,0,0.229083303,0.272313845,0.167378188
2025,8,12,3,0,0,0.250230762,0.206101752,0.14392325
2025,8,12,4,0,0,0.307047775,0.175202708,0.141052036
2025,8,12,5,0,0,0.39708551,0.161684067,0.138915475
2025,8,12,6,0,0,0.506774794,0.170006154,0.122516901
2025,8,12,7,0,0,0.583065568,0.193679918,0.093908223
2025,8,12,8,0,0,0.626047072,0.192167676,0.061417696
2025,8,12,9,0,0,0.639104024,0.178965486,0.052977906
2025,8,12,10,0,0,0.653391948,0.191655703,0.068836292
2025,8,12,11,0,0,0.649245202,0.264254896,0.123669676
2025,8,12,12,0,0,0.690788863,0.392695376,0.20577502
2025,8,12,13,0,0,0.698470954,0.491926183,0.277795242
2025,8,12,14,0,0,0.615248304,0.555504029,0.316759506
2025,8,12,15,0,0,0.552161212,0.623816714,0.360968488
2025,8,12,16,0,0,0.498195572,0.679530058,0.377400957
2025,8,12,17,0,0,0.441139479,0.72935316,0.396411484
2025,8,12,18,0,0,0.404456814,0.723637434,0.40925141
2025,8,12,19,0,0,0.39180322,0.728153601,0.4328211
2025,8,12,20,0,0,0.362450738,0.69375188,0.440274147
2025,8,12,21,0,0,0.366878269,0.713539392,0.432251164
2025,8,12,22,0,0,0.365469706,0.713211577,0.424041323
2025,8,12,23,0,0,0.337451349,0.67502056,0.396905754
2025,8,12,24,0,0,0.327219827,0.639227234,0.388602514
2025,8,13,1,0,0,0.216422245,0.365640216,0.212674419
2025,8,13,2,0,0,0.229083303,0.272313845,0.167378188
2025,8,13,3,0,0,0.250230762,0.206101752,0.14392325
2025,8,13,4,0,0,0.307047775,0.175202708,0.141052036
2025,8,13,5,0,0,0.39708551,0.161684067,0.138915475
2025,8,13,6,0,0,0.506774794,0.170006154,0.122516901
2025,8,13,7,0,0,0.583065568,0.193679918,0.093908223
2025,8,13,8,0,0,0.626047072,0.192167676,0.061417696
2025,8,13,9,0,0,0.639104024,0.178965486,0.052977906
2025,8,13,10,0,0,0.653391948,0.191655703,0.068836292
2025,8,13,11,0,0,0.649245202,0.264254896,0.123669676
2025,8,13,12,0,0,0.690788863,0.392695376,0.20577502
2025,8,13,13,0,0,0.698470954,0.491926183,0.277795242
2025,8,13,14,0,0,0.615248304,0.555504029,0.316759506
2025,8,13,15,0,0,0.552161212,0.623816714,0.360968488
2025,8,13,16,0,0,0.498195572,0.679530058,0.377400957
2025,8,13,17,0,0,0.441139479,0.72935316,0.396411484
2025,8,13,18,0,0,0.404456814,0.723637434,0.40925141
2025,8,13,19,0,0,0.39180322,0.728153601,0.4328211
2025,8,13,20,0,0,0.362450738,0.69375188,0.440274147
2025,8,13,21,0,0,0.366878269,0.713539392,0.432251164
2025,8,13,22,0,0,0.365469706,0.713211577,0.424041323
2025,8,13,23,0,0,0.337451349,0.67502056,0.396905754
2025,8,13,24,0,0,0.327219827,0.639227234,0.388602514
2025,8,14,1,0,0,0.216422245,0.365640216,0.212674419
2025,8,14,2,0,0,0.229083303,0.272313845,0.167378188
2025,8,14,3,0,0,0.250230762,0.206101752,0.14392325
2025,8,14,4,0,0,0.307047775,0.175202708,0.141052036
2025,8,14,5,0,0,0.39708551,0.161684067,0.138915475
2025,8,14,6,0,0,0.506774794,0.170006154,0.122516901
2025,8,14,7,0,0,0.583065568,0.193679918,0.093908223
2025,8,14,8,0,0,0.626047072,0.192167676,0.061417696
2025,8,14,9,0,0,0.639104024,0.178965486,0.052977906
2025,8,14,10,0,0,0.653391948,0.191655703,0.068836292
2025,8,14,11,0,0,0.649245202,0.264254896,0.123669676
2025,8,14,12,0,0,0.690788863,0.392695376,0.20577502
2025,8,14,13,0,0,0.698470954,0.491926183,0.277795242
2025,8,14,14,0,0,0.615248304,0.555504029,0.316759506
2025,8,14,15,0,0,0.552161212,0.623816714,0.360968488
2025,8,14,16,0,0,0.498195572,0.679530058,0.377400957
2025,8,14,17,0,0,0.441139479,0.72935316,0.396411484
2025,8,14,18,0,0,0.404456814,0.723637434,0.40925141
2025,8,14,19,0,0,0.39180322,0.728153601,0.4328211
2025,8,14,20,0,0,0.362450738,0.69375188,0.440274147
2025,8,14,21,0,0,0.366878269,0.713539392,0.432251164
2025,8,14,22,0,0,0.365469706,0.713211577,0.424041323
2025,8,14,23,0,0,0.337451349,0.67502056,0.396905754
2025,8,14,24,0,0,0.327219827,0.639227234,0.388602514
2025,8,15,1,0,0,0.216422245,0.365640216,0.212674419
2025,8,15,2,0,0,0.229083303,0.272313845,0.167378188
2025,8,15,3,0,0,0.250230762,0.206101752,0.14392325
2025,8,15,4,0,0,0.307047775,0.175202708,0.141052036
2025,8,15,5,0,0,0.39708551,0.161684067,0.138915475
2025,8,15,6,0,0,0.506774794,0.170006154,0.122516901
2025,8,15,7,0,0,0.583065568,0.193679918,0.093908223
2025,8,15,8,0,0,0.626047072,0.192167676,0.061417696
2025,8,15,9,0,0,0.639104024,0.178965486,0.052977906
2025,8,15,10,0,0,0.653391948,0.191655703,0.068836292
2025,8,15,11,0,0,0.649245202,0.264254896,0.123669676
2025,8,15,12,0,0,0.690788863,0.392695376,0.20577502
2025,8,15,13,0,0,0.698470954,0.491926183,0.277795242
2025,8,15,14,0,0,0.615248304,0.555504029,0.316759506
2025,8,15,15,0,0,0.552161212,0.623816714,0.360968488
2025,8,15,16,0,0,0.498195572,0.679530058,0.377400957
2025,8,15,17,0,0,0.441139479,0.72935316,0.396411484
2025,8,15,18,0,0,0.404456814,0.723637434,0.40925141
2025,8,15,19,0,0,0.39180322,0.728153601,0.4328211
2025,8,15,20,0,0,0.362450738,0.69375188,0.440274147
2025,8,15,21,0,0,0.366878269,0.713539392,0.432251164
2025,8,15,22,0,0,0.365469706,0.713211577,0.424041323
2025,8,15,23,0,0,0.337451349,0.67502056,0.396905754
2025,8,15,24,0,0,0.327219827,0.639227234,0.388602514
2025,8,16,1,0,0,0.216422245,0.365640216,0.212674419
2025,8,16,2,0,0,0.229083303,0.272313845,0.167378188
