Year-month,hydro_apb2,hydro_apb4,micro_hydro_apb1,micro_hydro_apb2,micro_hydro_apb3,micro_hydro_apb4,micro_hydro_apb5
203212,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
203301,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203302,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203303,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203304,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
203305,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
203306,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
203307,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
203308,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203309,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203310,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
203311,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
203312,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
203401,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203402,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203403,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203404,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
203405,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
203406,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
203407,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
203408,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203409,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203410,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
203411,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
203412,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
203501,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203502,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203503,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203504,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
203505,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
203506,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
203507,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
203508,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203509,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203510,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
203511,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
203512,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
203601,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203602,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203603,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203604,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
203605,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
203606,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
203607,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
203608,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203609,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203610,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
203611,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
203612,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
203701,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203702,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203703,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203704,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
203705,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
203706,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
203707,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
203708,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203709,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203710,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
203711,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
203712,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
203801,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203802,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
